last_name, first_name,player_id,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Muncy, Max,571970,2020,.233,.477,.364,.365,.244,88.5,14.2,12.4,
Murphy, John Ryan,571974,2020,.215,.317,.261,.265,.102,83,7.3,9.7,
Myers, Wil,571976,2020,.282,.583,.392,.348,.301,91,13.4,14.8,
Piscotty, Stephen,572039,2020,.237,.398,.293,.281,.161,88.1,13.5,6.5,
Pollock, AJ,572041,2020,.271,.499,.346,.313,.228,89.6,13,10.5,
Carpenter, Matt,572761,2020,.214,.404,.333,.349,.190,88.2,17,9.8,
Dickerson, Corey,572816,2020,.252,.398,.307,.306,.146,85.7,11.1,5.7,
Ruf, Darin,573131,2020,.247,.447,.346,.344,.200,89.4,12.5,9.4,
Yastrzemski, Mike,573262,2020,.254,.492,.367,.363,.238,88.2,18.4,10.9,
Iglesias, Jose,578428,2020,.356,.498,.385,.385,.142,86.2,7.6,3.2,
Hechavarria, Adeiny,588751,2020,.220,.260,.244,.269,.041,82.9,11.2,0,
Casali, Curt,592200,2020,.185,.341,.308,.334,.156,88.6,22.1,6.4,
Judge, Aaron,592450,2020,.260,.534,.371,.338,.275,92.2,15.7,11.6,
Moran, Colin,592567,2020,.252,.476,.348,.331,.223,91.9,8.3,13.4,
Realmuto, J.T.,592663,2020,.246,.498,.356,.331,.252,90.2,11.6,13.6,
Merrifield, Whit,593160,2020,.292,.439,.336,.334,.146,86.1,15.8,5.1,
Bonifacio, Jorge,593528,2020,.203,.301,.255,.262,.098,82.9,18.3,3.3,
Polanco, Jorge,593871,2020,.263,.381,.304,.308,.118,86.6,16.1,2.8,
Duvall, Adam,594807,2020,.227,.513,.340,.293,.286,88.1,22.9,13.9,
Eaton, Adam,594809,2020,.246,.382,.299,.303,.136,87.8,5.7,4.6,
Garcia, Greg,594824,2020,.187,.221,.232,.268,.033,83.4,11.1,0,
Kiermaier, Kevin,595281,2020,.249,.377,.325,.348,.129,87.7,-0.4,6.3,
Baez, Javier,595879,2020,.214,.377,.274,.252,.163,89.4,10.3,8.1,
Cave, Jake,595909,2020,.213,.332,.272,.277,.119,87.4,8.5,4.3,
Gallagher, Cam,595956,2020,.264,.315,.297,.339,.051,82.7,14.9,0,
Hedges, Austin,595978,2020,.209,.336,.281,.291,.126,90.2,18.6,7.7,
Story, Trevor,596115,2020,.252,.453,.333,.321,.201,89.9,20.8,8.7,
La Stella, Tommy,600303,2020,.273,.420,.347,.364,.147,88,17.1,4.8,
Nunez, Renato,600524,2020,.227,.431,.315,.298,.204,86.3,21.1,12.1,
Anderson, Brian,605119,2020,.227,.426,.324,.321,.199,87.4,9.6,9.6,
Davis, J.D.,605204,2020,.256,.428,.360,.379,.171,90.1,3.3,8.9,
Zimmer, Bradley,605548,2020,.126,.204,.276,.334,.078,84.1,16.4,4.2,
Peraza, Jose,606299,2020,.238,.357,.288,.290,.119,85.4,20,4.3,
Marte, Ketel,606466,2020,.261,.375,.301,.305,.114,89.2,10,3.7,
Nimmo, Brandon,607043,2020,.247,.419,.356,.378,.171,87.2,7.6,7.7,
Ramirez, Jose,608070,2020,.263,.505,.372,.361,.242,88.7,23.2,10.2,
Reyes, Franmil,614177,2020,.245,.438,.340,.326,.193,92.4,11.2,12.9,
Taylor, Chris,621035,2020,.270,.485,.370,.366,.215,88,9.1,11.5,
Santander, Anthony,623993,2020,.287,.516,.358,.339,.228,88.6,24.7,10.2,
Lin, Tzu-Wei,624407,2020,.182,.234,.198,.209,.052,85.5,13.7,2.6,
Alonso, Pete,624413,2020,.222,.455,.332,.319,.233,90.2,15.5,12.8,
Frazier, Adam,624428,2020,.250,.376,.307,.315,.126,85.5,12.3,4,
Soler, Jorge,624585,2020,.243,.486,.354,.338,.243,92.5,15.5,18.9,
Calhoun, Willie,641432,2020,.192,.269,.232,.242,.076,89.3,14.4,1.2,
Crawford, J.P.,641487,2020,.254,.357,.315,.340,.102,85.8,11.5,1.8,
Rosario, Amed,642708,2020,.228,.333,.260,.249,.105,86.5,4.2,3.7,
Benintendi, Andrew,643217,2020,.118,.208,.272,.326,.089,85.2,8.6,4.3,
Cooper, Garrett,643265,2020,.303,.518,.383,.371,.215,90.1,9.5,10.1,
McNeil, Jeff,643446,2020,.276,.405,.335,.354,.129,86.6,11.5,2.5,
Toro, Abraham,647351,2020,.220,.326,.284,.300,.106,86.1,7.6,3.1,
Diaz, Aledmys,649557,2020,.271,.387,.292,.284,.116,87.3,10.2,2.2,
Haseley, Adam,656514,2020,.267,.340,.303,.339,.072,86.6,0.3,1.5,
Schwarber, Kyle,656941,2020,.220,.433,.335,.335,.213,92.8,8.8,11.2,
Tucker, Cole,657061,2020,.195,.256,.218,.229,.061,83.1,13.3,2.5,
Olivares, Edward,658668,2020,.260,.366,.286,.287,.106,82.7,7.6,5.6,
Ohtani, Shohei,660271,2020,.234,.423,.331,.330,.189,89.1,9.2,10.7,
Acuna Jr., Ronald,660670,2020,.257,.593,.425,.411,.336,92.4,18.6,16,
Bader, Harrison,664056,2020,.199,.422,.327,.316,.223,86,15.7,11.9,
Fletcher, David,664058,2020,.292,.351,.316,.352,.059,84.7,4.1,0.5,
Moore, Dylan,664238,2020,.249,.459,.354,.353,.210,90.4,17.3,13.8,
Chisholm Jr. Jr., Jazz,665862,2020,.176,.341,.266,.256,.165,87.1,15.6,10.8,
Lux, Gavin,666158,2020,.194,.331,.265,.264,.137,87.1,13.9,6.8,
Carlson, Dylan,666185,2020,.246,.441,.314,.294,.196,87.4,9.3,9.2,
Gurriel Jr., Lourdes,666971,2020,.280,.483,.345,.323,.203,90.8,10.5,11.7,
Murphy, Sean,669221,2020,.217,.440,.347,.351,.223,92.2,14.7,12.7,
Senzel, Nick,669222,2020,.234,.384,.294,.293,.150,88.3,16.3,3.6,
Hiura, Keston,669374,2020,.209,.432,.316,.298,.223,87.4,14.3,14.2,
Lopez, Nicky,670032,2020,.238,.308,.287,.319,.070,84.9,1.4,1.5,
Robert, Luis,673357,2020,.223,.458,.325,.296,.236,87.9,16.7,13,
Jeffers, Ryan,680777,2020,.230,.449,.333,.317,.219,91.6,10.3,13.9,
Molina, Yadier,425877,2020,.254,.385,.298,.296,.131,84.7,12.3,2.4,
Davis, Chris,448801,2020,.140,.201,.179,.187,.061,85.8,6.2,2.9,
Pence, Hunter,452254,2020,.233,.435,.312,.288,.202,87.6,4.2,8.1,
Upton, Justin,457708,2020,.228,.430,.329,.316,.202,91.7,18.6,8.6,
Maybin, Cameron,457727,2020,.238,.372,.295,.298,.134,87.8,8.9,5.9,
Kemp, Matt,461314,2020,.226,.430,.321,.314,.205,85.3,11.9,7.9,
Gurriel, Yuli,493329,2020,.262,.404,.315,.311,.142,89.3,13.9,3.7,
Rojas, Miguel,500743,2020,.275,.381,.330,.366,.106,87.3,11.9,0.9,
Davis, Khris,501981,2020,.221,.407,.320,.321,.187,87.7,18.9,8.3,
Segura, Jean,516416,2020,.250,.391,.318,.334,.141,87.7,11.2,6.1,
Castro, Starlin,516770,2020,.240,.387,.299,.276,.147,87.1,16.8,4.3,
d'Arnaud, Travis,518595,2020,.298,.530,.383,.366,.232,93.4,8.1,11.2,
Grandal, Yasmani,518735,2020,.207,.403,.327,.334,.196,90.3,15.6,7.6,
Vogt, Stephen,519390,2020,.178,.304,.253,.259,.126,87.3,21.2,3.6,
Inciarte, Ender,542255,2020,.211,.261,.253,.283,.051,78.2,8.4,1.1,
Harrison, Josh,543281,2020,.304,.455,.362,.376,.151,83.8,15.4,4.3,
Vazquez, Christian,543877,2020,.221,.356,.284,.287,.134,88.4,14.4,4.6,
Wong, Kolten,543939,2020,.241,.311,.291,.328,.070,86.5,10.8,0.6,
Schoop, Jonathan,570731,2020,.240,.376,.294,.291,.135,87.2,8.7,5.6,
Barnhart, Tucker,571466,2020,.226,.408,.315,.311,.182,85.4,19.7,7.1,
Hernandez, Enrique,571771,2020,.224,.383,.290,.269,.158,88.5,16.2,7.3,
Lamb, Jake,571875,2020,.237,.427,.328,.322,.190,90.2,16.7,7.9,
Taylor, Michael A.,572191,2020,.229,.480,.325,.283,.251,89,12.4,15.4,
Castellanos, Nick,592206,2020,.272,.539,.372,.340,.267,91,16.5,16,
DeShields, Delino,592261,2020,.225,.303,.267,.285,.077,84,5.8,1.2,
Rosario, Eddie,592696,2020,.244,.435,.316,.305,.191,87.5,18.1,6.2,
Yelich, Christian,592885,2020,.248,.468,.375,.391,.220,94,7.1,12.1,
Sano, Miguel,593934,2020,.214,.478,.324,.287,.264,95.2,20.2,22.9,
Calhoun, Kole,594777,2020,.258,.506,.373,.365,.249,89.4,17,11.8,
Lindor, Francisco,596019,2020,.278,.439,.345,.354,.162,89.9,13.5,5.6,
Slater, Austin,596103,2020,.303,.540,.416,.425,.237,89.2,10.9,14.1,
Ahmed, Nick,605113,2020,.244,.374,.302,.307,.129,87.7,9.4,5.2,
Bell, Josh,605137,2020,.228,.381,.297,.308,.153,91.7,5.9,8.6,
Caratini, Victor,605170,2020,.216,.318,.285,.311,.102,87.9,6.2,3.5,
Arcia, Orlando,606115,2020,.279,.425,.336,.337,.147,89,9.6,5.6,
Aquino, Aristides,606157,2020,.207,.341,.323,.335,.134,82.2,10.6,6.9,
Hernandez, Teoscar,606192,2020,.294,.608,.398,.344,.315,93.3,15.3,18,
Beaty, Matt,607461,2020,.232,.331,.279,.289,.098,90,7.9,2.8,
Stallings, Jacob,607732,2020,.207,.324,.278,.292,.117,88.6,12.4,4.5,
Gallo, Joey,608336,2020,.190,.411,.313,.308,.221,91.2,26.8,14,
Kelly, Carson,608348,2020,.218,.351,.267,.260,.133,86.3,16.7,4.3,
Plawecki, Kevin,608700,2020,.269,.386,.315,.327,.117,88.9,12.7,4.4,
Torrens, Luis,620443,2020,.257,.388,.314,.324,.131,93,13.9,1.8,
Dahl, David,621311,2020,.199,.286,.232,.238,.086,85.9,17,3,
Wendle, Joey,621563,2020,.253,.370,.301,.312,.118,86.7,5.1,3.7,
Heineman, Tyler,623168,2020,.194,.261,.262,.295,.067,82.4,34.3,2.6,
Trevino, Jose,624431,2020,.247,.453,.323,.293,.206,87.9,10.1,12.5,
Ervin, Phillip,640447,2020,.166,.198,.251,.306,.033,85.4,16,0,
Anderson, Tim,641313,2020,.291,.506,.357,.329,.214,87.2,6.7,10.1,
Dozier, Hunter,641531,2020,.233,.381,.328,.349,.148,86.4,17,8.2,
Engel, Adam,641553,2020,.253,.376,.294,.293,.123,87.2,14,5.8,
Hampson, Garrett,641658,2020,.229,.388,.295,.285,.160,86.3,14.4,8.1,
Lewis, Kyle,641786,2020,.238,.431,.343,.346,.193,88.3,11.1,11.7,
McMahon, Ryan,641857,2020,.201,.384,.297,.283,.184,90.1,9.2,11.2,
O'Neill, Tyler,641933,2020,.193,.372,.286,.279,.179,88,15.1,8.2,
Sisco, Chance,642082,2020,.194,.376,.327,.348,.181,88.8,20,12.3,
Smith, Dominic,642086,2020,.301,.563,.390,.363,.262,89.8,10.8,13.3,
VanMeter, Josh,642165,2020,.210,.345,.290,.300,.134,89,15.1,6.5,
Adames, Willy,642715,2020,.228,.392,.305,.303,.164,88.8,12.5,9.9,
Kemp, Tony,643393,2020,.256,.349,.329,.372,.094,85.8,18.8,1.2,
Kiner-Falefa, Isiah,643396,2020,.260,.340,.294,.312,.080,87.2,0.8,2.2,
Tromp, Chadwick,644433,2020,.190,.358,.235,.201,.168,90.1,10.1,9.3,
Devers, Rafael,646240,2020,.255,.458,.327,.303,.204,93,10.6,12.1,
Arraez, Luis,650333,2020,.310,.453,.357,.358,.143,87.5,12.1,3.9,
Torres, Gleyber,650402,2020,.242,.378,.331,.356,.136,88.6,14.9,3.7,
Castro, Willi,650489,2020,.306,.506,.365,.343,.200,85.3,11.3,9.6,
Diaz, Yandy,650490,2020,.243,.319,.323,.374,.077,88.3,-7.9,2.1,
Rengifo, Luis,650859,2020,.182,.249,.256,.292,.067,87.6,3.8,1.5,
Harrison, Monte,656509,2020,.147,.295,.226,.214,.147,81.7,4,19,
Hilliard, Sam,656541,2020,.189,.338,.262,.253,.149,88.3,10.8,9.5,
Verdugo, Alex,657077,2020,.238,.369,.298,.305,.131,87,5.9,6.4,
Moncada, Yoan,660162,2020,.206,.334,.288,.305,.128,87.8,13.9,6.2,
Tsutsugo, Yoshi,660294,2020,.211,.421,.325,.325,.210,90.2,17.2,9.3,
Arauz, Jonathan,660620,2020,.289,.354,.322,.360,.065,85.6,9.4,0,
Hoerner, Nico,663538,2020,.241,.312,.295,.329,.071,87.5,0.8,1.2,
Mountcastle, Ryan,663624,2020,.266,.430,.328,.326,.164,87.4,10.8,7.1,
Grisham, Trent,663757,2020,.264,.480,.367,.364,.215,88.3,13.5,11.1,
Lowe, Nate,663993,2020,.230,.377,.300,.321,.147,88.9,7.1,15.4,
France, Ty,664034,2020,.285,.477,.357,.349,.192,85.7,14.8,8.7,
Haggerty, Sam,664059,2020,.263,.387,.311,.318,.123,90.6,13,2.9,
Kingery, Scott,664068,2020,.214,.390,.298,.278,.176,85.3,16.9,10.1,
Straw, Myles,664702,2020,.229,.328,.261,.264,.100,87.4,15.9,1.7,
Soto, Juan,665742,2020,.332,.695,.474,.475,.363,92.1,4.3,18.3,
Rojas, Josh,668942,2020,.218,.295,.287,.298,.076,86,5.4,0,
Paredes, Isaac,670623,2020,.206,.266,.241,.264,.060,86.5,7.5,0,
Garcia, Jose,676480,2020,.209,.282,.220,.220,.074,86.6,7.7,2.4,
Pujols, Albert,405395,2020,.243,.393,.293,.288,.150,88.6,16.4,5.5,
Choo, Shin-Soo,425783,2020,.254,.455,.340,.338,.202,90,11.4,10.1,
Cruz Jr., Nelson,443558,2020,.265,.535,.377,.365,.270,91.6,9.4,15,
Jay, Jon,445055,2020,.217,.350,.275,.268,.133,84.8,12.4,4.9,
Blackmon, Charlie,453568,2020,.274,.419,.328,.337,.145,86.9,13.5,4.9,
Frazier, Todd,453943,2020,.221,.363,.288,.289,.143,87.8,20.5,5.2,
Chirinos, Robinson,455139,2020,.166,.254,.229,.241,.088,84.5,13.8,1.9,
Markakis, Nick,455976,2020,.274,.361,.308,.331,.087,89,9.5,1.9,
Solano, Donovan,456781,2020,.280,.418,.321,.321,.139,88.5,15.5,4.6,
McCutchen, Andrew,457705,2020,.273,.479,.355,.343,.206,89.7,18.2,8.2,
Bruce, Jay,457803,2020,.237,.471,.321,.289,.234,89,15.3,9.7,
Joyce, Matt,459964,2020,.225,.334,.308,.333,.109,86.7,12.5,3.4,
Braun, Ryan,460075,2020,.271,.474,.339,.318,.202,89.8,15.3,11.7,
Avila, Alex,488671,2020,.198,.326,.324,.367,.127,85.3,12.6,3.7,
Marte, Starling,516782,2020,.262,.414,.322,.323,.153,87.1,6.5,6.4,
Rizzo, Anthony,519203,2020,.265,.411,.353,.381,.146,87.7,16.7,7.8,
Sogard, Eric,519299,2020,.254,.309,.288,.324,.055,84.4,15.2,0,
Galvis, Freddy,520471,2020,.219,.358,.299,.307,.139,87,13.6,4.5,
Perez, Salvador,521692,2020,.318,.611,.401,.340,.293,91,14.2,13.9,
Dickerson, Alex,543105,2020,.268,.494,.356,.345,.226,90.9,17.8,10.7,
Hicks, Aaron,543305,2020,.254,.432,.372,.403,.178,88.2,11.1,6.9,
Nola, Austin,543592,2020,.280,.467,.361,.362,.187,89.7,12.5,7.8,
Rendon, Anthony,543685,2020,.286,.467,.388,.418,.181,90.1,19.5,6.3,
Grichuk, Randal,545341,2020,.266,.463,.333,.309,.198,88.9,12.6,11.2,
Ruiz, Rio,547004,2020,.211,.354,.276,.276,.143,87.9,10.5,8.5,
Diaz, Elias,553869,2020,.265,.399,.312,.315,.135,87.4,12.9,11.3,
Polanco, Gregory,570256,2020,.223,.417,.301,.280,.195,92.9,20.8,12.6,
Urshela, Gio,570482,2020,.311,.488,.381,.383,.176,91.4,12.3,6.9,
Adams, Matt,571431,2020,.197,.379,.258,.228,.182,90.1,21.4,9.7,
Arenado, Nolan,571448,2020,.234,.388,.286,.288,.154,87.8,19.1,5.4,
Seager, Kyle,572122,2020,.252,.472,.365,.371,.220,89.1,17.7,10.2,
Walker, Christian,572233,2020,.264,.449,.339,.329,.185,90.4,11.5,6.4,
Gyorko, Jedd,576397,2020,.249,.505,.357,.336,.256,88.6,15.3,16,
Canha, Mark,592192,2020,.238,.411,.356,.384,.173,89.7,19.4,7.7,
Gamel, Ben,592325,2020,.267,.407,.330,.342,.140,87.9,11.5,6.7,
Pederson, Joc,592626,2020,.235,.443,.335,.324,.208,93,12.5,10.3,
Simmons, Andrelton,592743,2020,.238,.281,.262,.292,.043,86.5,6,0,
Alberto, Hanser,593643,2020,.244,.316,.259,.269,.072,82.3,13.2,1,
Gosselin, Phil,594838,2020,.238,.359,.295,.313,.121,85.3,13.8,6.2,
Knapp, Andrew,595284,2020,.260,.409,.362,.394,.149,86.8,11.9,7.4,
Riddle, JT,595375,2020,.208,.335,.246,.231,.127,88.8,6.8,3.7,
Heineman, Scott,595981,2020,.204,.318,.241,.233,.114,87,8.3,4.9,
Odor, Rougned,596059,2020,.192,.417,.278,.237,.225,86,20.7,11.8,
Vogelbach, Daniel,596129,2020,.227,.407,.332,.346,.180,89.5,10.2,8.5,
Sanchez, Gary,596142,2020,.191,.427,.312,.291,.235,91.8,19.2,17.4,
Franco, Maikel,596748,2020,.254,.394,.304,.302,.140,86.7,8.4,5.8,
Bradley Jr. Jr., Jackie,598265,2020,.226,.371,.305,.315,.144,88.3,4.4,7.6,
Severino, Pedro,600474,2020,.267,.427,.335,.337,.160,87.6,9.5,7.4,
Machin, Vimael,605353,2020,.290,.391,.338,.370,.102,89.9,6.4,0,
Panik, Joe,605412,2020,.244,.345,.320,.356,.101,87.5,9.3,1.1,
Perez, Michael,605421,2020,.231,.404,.310,.295,.172,87.3,14.5,10.3,
Peterson, Jace,607054,2020,.186,.358,.346,.389,.172,89.2,7.4,7.7,
Turner, Trea,607208,2020,.299,.509,.379,.365,.209,90.5,9.5,9.5,
Seager, Corey,608369,2020,.326,.645,.427,.376,.319,93.2,11.9,15.8,
Guzman, Ronald,608597,2020,.237,.419,.318,.308,.182,86.3,6,7.4,
Andujar, Miguel,609280,2020,.231,.346,.271,.267,.115,85.9,13.9,3.8,
Lopes, Tim,621005,2020,.235,.347,.276,.275,.113,87.2,6.5,2.8,
Swanson, Dansby,621020,2020,.266,.472,.352,.340,.206,89.1,14.7,11.4,
Newman, Kevin,621028,2020,.246,.328,.284,.303,.082,85.5,8.7,0.7,
Phillips, Brett,621433,2020,.235,.355,.314,.339,.120,84.9,13.7,8.3,
Buxton, Byron,621439,2020,.247,.543,.332,.260,.296,91.2,23.6,13.5,
Stewart, DJ,621466,2020,.192,.392,.336,.354,.199,91.4,17.8,19.2,
Stewart, Christin,621514,2020,.208,.365,.274,.263,.156,85.7,24.5,11.5,
Margot, Manuel,622534,2020,.258,.378,.308,.317,.120,89.4,7.5,4.1,
Camargo, Johan,622666,2020,.182,.309,.236,.227,.127,87.3,9.8,4.7,
Cronenworth, Jake,630105,2020,.321,.538,.396,.387,.217,89.8,10.6,10.5,
Mercado, Oscar,640458,2020,.158,.227,.193,.202,.070,88.2,14.4,1.6,
Valaika, Pat,642162,2020,.263,.458,.325,.302,.195,88.7,18.2,8.3,
Wade, Tyler,642180,2020,.242,.326,.310,.349,.085,86.6,13.4,1.5,
Sierra, Magneuris,642423,2020,.232,.280,.304,.328,.049,83.7,3.8,0,
Estrada, Thairo,642731,2020,.199,.290,.250,.261,.090,83.5,2.9,3.4,
Dubon, Mauricio,643289,2020,.256,.402,.319,.324,.146,86.2,16.7,4,
Jansen, Danny,643376,2020,.244,.436,.352,.364,.191,85.1,16.3,8.6,
Long Jr., Shed,643418,2020,.173,.301,.246,.244,.128,87.1,2.6,6.3,
McBroom, Ryan,643436,2020,.215,.455,.300,.252,.240,89,20.1,13.7,
Tauchman, Mike,643565,2020,.251,.321,.304,.350,.070,84.9,10.6,1.4,
Robles, Victor,645302,2020,.205,.280,.262,.284,.075,82.2,19,1.7,
Ford, Mike,645801,2020,.231,.392,.310,.312,.162,89.7,8.4,6.8,
Naylor, Josh,647304,2020,.273,.376,.305,.316,.103,86.8,7.8,3.5,
Jimenez, Eloy,650391,2020,.282,.543,.368,.321,.261,92.4,5.7,16.5,
Chapman, Matt,656305,2020,.241,.531,.343,.286,.290,93.6,24.1,18,
Hoskins, Rhys,656555,2020,.235,.504,.379,.376,.268,89.8,24.8,14.8,
O'Hearn, Ryan,656811,2020,.230,.384,.317,.335,.155,90.7,11.9,6.5,
White, Evan,657108,2020,.189,.384,.290,.269,.194,91.7,13.7,14.1,
DeJong, Paul,657557,2020,.238,.406,.315,.314,.168,89.2,21.7,7.5,
Laureano, Ramon,657656,2020,.235,.408,.342,.357,.173,87.7,12.3,9.4,
Fuentes, Josh,658069,2020,.254,.341,.270,.273,.087,84,10.6,1.4,
Tejeda, Anderson,660731,2020,.193,.380,.252,.214,.187,90.8,14.3,13.3,
Varsho, Daulton,662139,2020,.196,.347,.294,.294,.150,86.2,18.4,4.4,
Riley, Austin,663586,2020,.257,.461,.333,.317,.204,91,13.6,10,
Madrigal, Nick,663611,2020,.303,.355,.314,.342,.052,84,4.1,0,
Hayes, Ke'Bryan,663647,2020,.294,.486,.363,.368,.193,92.8,7.4,9.2,
Cameron, Daz,663662,2020,.197,.275,.220,.224,.078,87.1,9.3,2.6,
Lowe, Brandon,664040,2020,.260,.547,.382,.354,.288,89.8,18.1,17.5,
Bohm, Alec,664761,2020,.285,.466,.357,.354,.181,90.2,4.8,10.3,
Walsh, Jared,665120,2020,.265,.522,.349,.304,.257,88.1,13.1,12.6,
Taveras, Leody,665750,2020,.232,.375,.305,.312,.143,88.9,14.3,6.5,
Adell, Jo,666176,2020,.171,.284,.226,.221,.114,90.6,11.4,4.3,
Bichette, Bo,666182,2020,.292,.525,.356,.319,.234,89.2,12,12.5,
Reynolds, Bryan,668804,2020,.227,.399,.312,.310,.172,87.5,10.2,10.2,
Edman, Tommy,669242,2020,.265,.366,.313,.333,.101,86.5,8.2,3.8,
Solak, Nick,669256,2020,.264,.388,.318,.326,.124,89.9,9.4,4.7,
Smith, Will,669257,2020,.293,.539,.407,.409,.246,90.8,24.2,12.9,
Espinal, Santiago,669289,2020,.246,.345,.283,.292,.100,87.3,14.5,2.2,
Cabrera, Miguel,408234,2020,.285,.514,.375,.363,.228,93.2,12.1,9.7,
Cano, Robinson,429664,2020,.297,.481,.353,.338,.184,90.4,6.2,7.4,
Suzuki, Kurt,435559,2020,.246,.351,.310,.333,.105,83.9,18,3.2,
Longoria, Evan,446334,2020,.280,.521,.362,.327,.241,91.7,10.7,11.5,
Maldonado, Martin,455117,2020,.204,.360,.318,.341,.156,86.1,19.1,8.1,
Turner, Justin,457759,2020,.295,.544,.399,.391,.249,90.3,17.5,11.2,
Andrus, Elvis,462101,2020,.234,.389,.295,.289,.156,88.5,9.2,5.7,
Martinez, Jose,500874,2020,.218,.356,.288,.297,.139,87.9,6.2,4.9,
Martinez, J.D.,502110,2020,.228,.441,.319,.305,.213,89.5,14.7,11,
Reddick, Josh,502210,2020,.245,.358,.301,.317,.113,85.9,19.1,4.8,
Goldschmidt, Paul,502671,2020,.285,.509,.395,.403,.224,89.2,11.7,10.7,
Leon, Sandy,506702,2020,.177,.302,.294,.329,.125,84.9,17.9,4.4,
Altuve, Jose,514888,2020,.229,.346,.286,.295,.118,86.7,9.3,4.6,
Dietrich, Derek,518618,2020,.239,.476,.376,.381,.237,85.4,12.6,12.5,
Heyward, Jason,518792,2020,.287,.451,.385,.413,.163,87.6,11.3,4.5,
